100000 3 
0.214190	0.742238	0.366713	A
0.425119	0.571830	0.615522	B
0.933755	0.037902	0.682428	C
0.421456	0.820002	0.229592	A
0.370200	0.386493	0.557981	C
0.309964	0.418728	0.606618	B
0.485964	0.531551	0.381273	B
0.692129	0.549515	0.489976	C
0.639821	0.198066	0.832625	A
0.089610	0.978143	0.513826	B
0.988300	0.136732	0.354866	B
0.297013	0.724753	0.351796	C
0.061533	0.743731	0.896933	B
0.641741	0.976539	0.009567	B
0.744646	0.310816	0.293185	B
0.610761	0.292439	0.308749	B
0.371253	0.520397	0.690794	A
0.075774	0.510997	0.919678	C
0.276958	0.691299	0.335922	B
0.865273	0.316587	0.314412	B
0.623211	0.477651	0.379354	B
0.441518	0.122325	0.989917	B
0.513526	0.831153	0.372712	C
0.679868	0.212501	0.553792	A
0.924176	0.005941	0.577737	A
0.659739	0.046370	0.956597	B
0.545116	0.203086	0.672564	B
0.319353	0.523022	0.746658	C
0.677703	0.664256	0.260363	B
0.765548	0.190931	0.362176	B
0.267494	0.478527	0.724539	A
0.282236	0.769487	0.499622	C
0.675802	0.130008	0.469772	A
0.716832	0.402392	0.510006	B
0.680139	0.329119	0.412656	A
0.225621	0.340648	0.958820	B
0.109112	0.251707	0.992188	C
0.788281	0.174193	0.516429	B
0.271352	0.980962	0.338832	A
0.714374	0.039642	0.784208	C
0.879097	0.179764	0.428325	B
0.877060	0.256514	0.290483	B
0.953937	0.346736	0.100892	B
0.396143	0.836369	0.372746	C
0.698085	0.800038	0.047021	A
0.091015	0.938016	0.457941	A
0.683584	0.551429	0.310478	C
0.498729	0.194412	0.951959	B
0.165570	0.486596	0.920836	B
0.586389	0.466800	0.435288	B
0.807996	0.134172	0.459394	B
0.548813	0.374311	0.705665	C
0.234614	0.406107	0.950944	C
0.939293	0.533599	0.130025	B
0.174455	0.735536	0.414400	C
0.636909	0.176903	0.686614	A
0.284579	0.404179	0.962290	A
0.416757	0.862465	0.286073	B
0.338494	0.829053	0.242478	A
0.317541	0.385002	0.653322	B
0.598405	0.471680	0.375633	C
0.412790	0.897897	0.237319	A
0.978480	0.437166	0.145897	A
0.573596	0.909431	0.370077	A
0.030578	0.540084	0.952326	C
0.478264	0.476593	0.649931	B
0.972869	0.627848	0.046086	B
0.554550	0.353326	0.717929	A
0.398807	0.484826	0.694373	C
0.710018	0.572157	0.380250	B
0.266692	0.889835	0.547797	C
0.288360	0.245114	0.991051	B
0.327452	0.812379	0.084576	B
0.427746	0.552366	0.590418	C
0.571025	0.171482	0.832962	B
0.386657	0.398492	0.896948	B
0.574253	0.012943	0.903365	A
0.542573	0.396022	0.471297	B
0.039548	0.738756	0.683854	C
0.554256	0.832932	0.194622	B
0.149513	0.476768	0.667442	A
0.766522	0.130237	0.800683	B
0.753330	0.041106	0.553873	A
0.419004	0.781469	0.327928	B
0.460141	0.413331	0.576924	B
0.174826	0.540465	0.643770	A
0.875568	0.044620	0.375186	B
0.181880	0.561766	0.668697	C
0.183661	0.699066	0.596094	B
0.926648	0.067259	0.478698	A
0.448649	0.705459	0.391249	B
0.413407	0.345312	0.669212	B
0.697352	0.606154	0.149121	C
0.554280	0.558596	0.443382	B
0.146135	0.515498	0.726575	C
0.605114	0.009891	0.896788	C
0.198066	0.835838	0.446769	C
0.528430	0.415379	0.404229	C
0.857405	0.446903	0.295161	A
0.463708	0.628921	0.386258	B
0.446754	0.284802	0.712640	C
0.524352	0.567004	0.384555	C
0.394833	0.764327	0.455452	A
0.334955	0.229812	0.776117	C
0.220067	0.861183	0.415301	C
0.485866	0.404901	0.567603	C
0.773439	0.629490	0.063539	A
0.379371	0.324571	0.825527	C
0.300191	0.220328	0.666926	B
0.635250	0.121766	0.632898	B
0.881972	0.180755	0.655726	B
0.497761	0.504643	0.451197	A
0.712363	0.453883	0.314022	C
0.533180	0.459242	0.544629	B
0.696049	0.221873	0.576289	B
0.490005	0.544163	0.264321	A
0.838260	0.525867	0.282042	A
0.808729	0.358126	0.568241	C
0.209685	0.492963	0.636041	C
0.214607	0.316966	0.785791	A
0.251129	0.595586	0.784277	B
0.338404	0.527627	0.707507	A
0.593786	0.894557	0.141385	A
0.294242	0.812154	0.428172	A
0.598686	0.548808	0.757063	A
0.259388	0.593845	0.592769	C
0.875791	0.326289	0.294872	A
