100000 2 
0.139847	0.742312	A
0.390938	0.632707	B
0.806578	0.277761	C
0.962638	0.007113	A
0.468361	0.484975	C
0.395388	0.691726	B
0.365764	0.706516	B
0.464927	0.468538	C
0.289918	0.745881	A
0.664709	0.304193	B
0.544004	0.336367	B
0.525344	0.586996	C
0.915585	0.198086	B
0.376751	0.614202	B
0.834425	0.084418	B
0.865922	0.071098	B
0.550033	0.480064	A
0.460541	0.496260	C
0.403004	0.620590	B
0.259351	0.680338	B
0.539740	0.503619	B
0.917483	0.102728	B
0.245070	0.701547	C
0.653292	0.328533	A
0.539278	0.333567	A
0.625313	0.347114	B
0.065556	0.917371	B
0.194867	0.672014	C
0.417905	0.595585	B
0.331457	0.581364	B
0.639165	0.362190	A
0.834858	0.080040	C
0.780767	0.364477	A
0.268415	0.611178	B
0.651993	0.231050	A
0.901224	0.139646	B
0.430151	0.442001	C
0.950999	0.007542	B
0.712962	0.434782	A
0.313755	0.831237	C
0.756912	0.160440	B
0.147248	0.749001	B
0.346969	0.791793	B
0.488393	0.439328	C
0.573048	0.387369	A
0.059806	0.897435	A
0.351377	0.491786	C
0.176168	0.931101	B
0.388870	0.697628	B
0.895130	0.134318	B
0.398850	0.492346	B
0.683737	0.402432	C
0.326368	0.594088	C
0.924512	0.141927	B
0.119644	0.840127	C
0.267209	0.637310	A
0.301865	0.630827	A
0.567389	0.519122	B
0.337067	0.775103	A
0.472322	0.677940	B
0.739968	0.225812	C
0.723289	0.324925	A
0.589028	0.459746	A
0.058559	0.911091	A
0.535088	0.379011	C
0.506781	0.427762	B
0.265815	0.684812	B
0.587112	0.319654	A
0.466687	0.539346	C
0.531031	0.511681	B
0.410642	0.636427	C
0.467909	0.496385	B
0.022168	0.991258	B
0.595010	0.436151	C
0.372487	0.496505	B
0.969280	0.190171	B
0.598709	0.380752	A
0.510220	0.548583	B
0.501309	0.499542	C
0.694510	0.316275	B
0.358859	0.650609	A
0.568035	0.346441	B
0.026963	0.966965	A
0.405034	0.671384	B
0.203233	0.885674	B
0.028557	0.930489	A
0.958228	0.069828	B
0.751757	0.116512	C
0.369961	0.643931	B
0.936136	0.095728	A
0.804523	0.119428	B
0.212524	0.679721	B
0.651391	0.286564	C
0.503832	0.687826	B
0.307524	0.743767	C
0.657395	0.415033	C
0.237522	0.654491	C
0.378955	0.543601	C
0.492111	0.471727	A
0.649801	0.391788	B
0.922251	0.159355	C
0.945803	0.163007	C
0.401826	0.571214	A
0.772961	0.433361	C
0.971602	0.100177	C
0.462780	0.689400	C
0.401231	0.727268	A
0.305845	0.772567	C
0.533031	0.552568	B
0.626560	0.408919	B
0.536102	0.572214	B
0.545195	0.492268	A
0.033034	0.964248	C
0.644087	0.268634	B
0.659404	0.293299	B
0.871981	0.146187	A
0.691051	0.342698	A
0.810072	0.194878	C
0.561990	0.403088	C
0.532286	0.556747	A
0.090131	0.901504	B
0.322052	0.632704	A
0.703420	0.168223	A
0.669555	0.282283	A
0.366775	0.709267	A
0.270964	0.672236	C
0.995568	0.056551	A
0.626033	0.406407	C
0.449187	0.539664	B
0.360885	0.533909	C
0.537511	0.502434	B
0.445963	0.621453	B
0.860542	0.079162	C
0.324697	0.557822	B
0.675403	0.357402	C
0.804708	0.162366	B
0.563003	0.272030	A
0.540716	0.485478	A
0.520394	0.429601	A
0.395141	0.545222	B
0.044085	0.968807	A
0.286805	0.699136	B
0.522157	0.562828	A
0.354373	0.621568	A
0.561391	0.478290	B
0.162312	0.805058	C
0.755111	0.197977	B
0.301902	0.666266	C
0.334890	0.535035	B
0.149756	0.800278	B
0.185305	0.751081	B
0.613134	0.471220	A
0.687718	0.414728	B
0.536122	0.443317	A
0.682401	0.233999	B
0.461846	0.483140	C
0.320434	0.779976	B
0.491000	0.273811	B
0.532802	0.464063	A
0.534143	0.314271	C
0.459945	0.492412	B
0.316331	0.652985	B
0.503056	0.502435	B
